epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5453,1.85763,2.78859,1.69535,0.9418,0.12174,0.30321,0.14819,1.66809,3.01483,1.49486,0.000466807,0.000466807,0.000466807
2,23.4342,1.74135,2.1363,1.63535,0.4901,0.43913,0.44662,0.21228,1.83762,2.02675,1.56911,0.000933803,0.000933803,0.000933803
3,33.9065,1.72896,1.96125,1.60932,0.60381,0.33913,0.34324,0.15067,1.98026,2.5172,1.84456,0.00139137,0.00139137,0.00139137
4,44.2503,1.6852,1.92595,1.61817,0.11114,0.39631,0.08146,0.03721,1.82751,3.07726,1.72724,0.00138656,0.00138656,0.00138656
5,54.4246,1.70258,1.8658,1.61625,0.63577,0.47054,0.52837,0.2484,1.74817,1.69476,1.57769,0.00137241,0.00137241,0.00137241
6,64.6252,1.68201,1.74617,1.57982,0.58009,0.4913,0.5023,0.22973,1.83006,1.79007,1.63528,0.00135826,0.00135826,0.00135826
7,74.5799,1.64415,1.72034,1.57276,0.63469,0.46522,0.53095,0.25841,1.75695,1.7313,1.62341,0.00134412,0.00134412,0.00134412
8,84.8159,1.64002,1.66547,1.55312,0.60955,0.55217,0.56292,0.26008,1.88175,1.76388,1.65892,0.00132997,0.00132997,0.00132997
9,95.1595,1.64609,1.68394,1.58878,0.68548,0.53913,0.62218,0.29898,1.66737,1.52743,1.52729,0.00131582,0.00131582,0.00131582
10,105.6,1.64642,1.62762,1.56306,0.70068,0.54783,0.67175,0.3322,1.69368,1.4191,1.51898,0.00130168,0.00130168,0.00130168
11,115.945,1.63881,1.62457,1.56368,0.67623,0.57212,0.65377,0.31449,1.79516,1.41793,1.56528,0.00128753,0.00128753,0.00128753
12,126.432,1.59419,1.56941,1.52015,0.73696,0.59565,0.69219,0.35406,1.67008,1.39209,1.46503,0.00127338,0.00127338,0.00127338
13,136.638,1.55171,1.51262,1.49943,0.70087,0.65198,0.71152,0.36435,1.65129,1.32747,1.49996,0.00125923,0.00125923,0.00125923
14,147.1,1.57057,1.54087,1.51656,0.65961,0.60661,0.67563,0.38128,1.58812,1.3608,1.47272,0.00124509,0.00124509,0.00124509
15,157.294,1.555,1.48128,1.49726,0.65891,0.57391,0.62865,0.29787,1.7422,1.5403,1.55585,0.00123094,0.00123094,0.00123094
16,167.45,1.53857,1.46537,1.49173,0.69569,0.59638,0.68934,0.36126,1.61791,1.32666,1.51491,0.00121679,0.00121679,0.00121679
17,177.686,1.53352,1.44887,1.50185,0.72769,0.66228,0.74743,0.3884,1.63306,1.27619,1.43399,0.00120265,0.00120265,0.00120265
18,187.846,1.53694,1.45044,1.46966,0.71646,0.62174,0.68837,0.36676,1.56867,1.33659,1.4415,0.0011885,0.0011885,0.0011885
19,197.902,1.52728,1.42251,1.49133,0.69624,0.66087,0.72707,0.38971,1.55123,1.27984,1.42138,0.00117435,0.00117435,0.00117435
20,208.215,1.51639,1.39509,1.47853,0.69609,0.67826,0.73847,0.3793,1.6305,1.34513,1.44629,0.00116021,0.00116021,0.00116021
21,218.448,1.51862,1.39644,1.44583,0.69498,0.64783,0.70224,0.397,1.49262,1.65373,1.37795,0.00114606,0.00114606,0.00114606
22,228.757,1.49039,1.37758,1.45431,0.71873,0.63913,0.70254,0.34994,1.68885,1.34975,1.4804,0.00113191,0.00113191,0.00113191
23,238.859,1.54111,1.40918,1.48102,0.81248,0.68261,0.78492,0.443,1.48346,1.12294,1.38645,0.00111776,0.00111776,0.00111776
24,248.915,1.48189,1.35238,1.44942,0.78384,0.66216,0.76028,0.42803,1.5585,1.16785,1.40229,0.00110362,0.00110362,0.00110362
25,259.142,1.49612,1.37005,1.47012,0.75853,0.66522,0.75725,0.42689,1.52954,1.20259,1.38499,0.00108947,0.00108947,0.00108947
26,269.288,1.47234,1.34394,1.44627,0.7877,0.68261,0.77129,0.40788,1.61279,1.1063,1.42961,0.00107532,0.00107532,0.00107532
27,279.478,1.49782,1.35563,1.46262,0.76325,0.66522,0.73901,0.3868,1.48739,1.35319,1.39744,0.00106118,0.00106118,0.00106118
28,289.715,1.46839,1.3294,1.44564,0.80985,0.70435,0.81288,0.4708,1.4324,1.03655,1.33979,0.00104703,0.00104703,0.00104703
29,299.796,1.46012,1.30443,1.4312,0.73952,0.66522,0.74711,0.43896,1.45177,1.15088,1.35774,0.00103288,0.00103288,0.00103288
30,309.868,1.4659,1.30369,1.44163,0.78107,0.70435,0.80165,0.46657,1.43074,1.15983,1.30147,0.00101873,0.00101873,0.00101873
31,320.045,1.47514,1.30146,1.43343,0.77083,0.72609,0.79586,0.48023,1.36114,1.09283,1.30992,0.00100459,0.00100459,0.00100459
32,330.301,1.44049,1.29239,1.42642,0.82047,0.75509,0.83205,0.49599,1.41045,1.01996,1.31542,0.00099044,0.00099044,0.00099044
33,340.811,1.42806,1.27493,1.42914,0.83637,0.71739,0.83045,0.47634,1.43054,1.04201,1.32087,0.000976293,0.000976293,0.000976293
34,351.267,1.44473,1.25648,1.42361,0.83091,0.7264,0.83216,0.48476,1.38454,1.10452,1.29926,0.000962146,0.000962146,0.000962146
35,361.759,1.4153,1.22872,1.37741,0.7941,0.7378,0.82933,0.48347,1.38238,1.11546,1.31094,0.000947999,0.000947999,0.000947999
36,372.239,1.36888,1.18936,1.36968,0.7516,0.74988,0.80523,0.46141,1.46167,1.05539,1.35485,0.000933851,0.000933851,0.000933851
37,382.691,1.47263,1.28273,1.44125,0.78117,0.75652,0.83141,0.46753,1.48183,1.04167,1.36183,0.000919704,0.000919704,0.000919704
38,393.04,1.38521,1.23321,1.38699,0.84943,0.73478,0.85234,0.51536,1.37827,0.97323,1.30107,0.000905557,0.000905557,0.000905557
39,403.296,1.42446,1.19338,1.39125,0.80626,0.77805,0.85303,0.49868,1.42068,1.01647,1.30964,0.00089141,0.00089141,0.00089141
40,413.567,1.38523,1.20955,1.38745,0.84869,0.78038,0.87325,0.49608,1.42287,0.97548,1.30312,0.000877263,0.000877263,0.000877263
41,423.635,1.3652,1.17465,1.36481,0.87235,0.72609,0.86784,0.52573,1.3423,0.9508,1.24999,0.000863116,0.000863116,0.000863116
42,433.735,1.36372,1.16902,1.35664,0.80511,0.75217,0.8483,0.5192,1.33823,1.06702,1.26174,0.000848969,0.000848969,0.000848969
43,443.736,1.34565,1.15668,1.34859,0.80874,0.75217,0.84483,0.49304,1.38005,1.01443,1.25573,0.000834822,0.000834822,0.000834822
44,453.954,1.39711,1.18102,1.37833,0.92476,0.72609,0.87002,0.55546,1.26278,0.89146,1.21199,0.000820675,0.000820675,0.000820675
45,464.016,1.37742,1.14316,1.35763,0.88076,0.75217,0.87576,0.5421,1.31874,0.88832,1.23501,0.000806528,0.000806528,0.000806528
46,473.992,1.34744,1.12877,1.34308,0.8449,0.78158,0.88233,0.55493,1.27811,0.85731,1.21387,0.00079238,0.00079238,0.00079238
47,484.172,1.36104,1.14548,1.35999,0.89574,0.78448,0.8988,0.55665,1.29054,0.84252,1.22882,0.000778233,0.000778233,0.000778233
48,494.254,1.3528,1.11958,1.35231,0.85726,0.81739,0.90604,0.57443,1.26852,0.80921,1.21331,0.000764086,0.000764086,0.000764086
49,504.524,1.35458,1.13097,1.36484,0.83432,0.7882,0.88262,0.56932,1.24489,0.84758,1.20873,0.000749939,0.000749939,0.000749939
50,514.716,1.37325,1.12555,1.36426,0.82024,0.81338,0.88229,0.54857,1.2421,0.84653,1.20275,0.000735792,0.000735792,0.000735792
51,524.804,1.35894,1.12804,1.35555,0.82929,0.7913,0.88123,0.55911,1.26586,0.87034,1.20635,0.000721645,0.000721645,0.000721645
52,534.928,1.33291,1.07567,1.34476,0.82801,0.82609,0.905,0.55949,1.30587,0.81239,1.21705,0.000707498,0.000707498,0.000707498
53,545.081,1.30503,1.08312,1.32192,0.81401,0.81825,0.89837,0.57804,1.23283,0.82184,1.19221,0.000693351,0.000693351,0.000693351
54,555.259,1.33992,1.08229,1.3331,0.89853,0.8,0.89827,0.59321,1.19564,0.80044,1.18524,0.000679204,0.000679204,0.000679204
55,565.396,1.33763,1.07504,1.33884,0.8614,0.84783,0.90624,0.54528,1.3142,0.82592,1.20526,0.000665057,0.000665057,0.000665057
56,575.725,1.33902,1.06879,1.31939,0.86324,0.7913,0.89365,0.57188,1.17639,0.8242,1.18638,0.000650909,0.000650909,0.000650909
57,586.187,1.31962,1.04416,1.30658,0.90268,0.82609,0.91989,0.60021,1.19453,0.7623,1.17196,0.000636762,0.000636762,0.000636762
58,596.573,1.29009,1.0309,1.30661,0.85595,0.86957,0.9297,0.58016,1.28042,0.75635,1.19326,0.000622615,0.000622615,0.000622615
59,606.96,1.31663,1.07585,1.33513,0.89894,0.85652,0.93533,0.61292,1.18039,0.76222,1.16878,0.000608468,0.000608468,0.000608468
